title,price
"
                MANDEVU ALL-OVER BUTTER
              ","
          KSh1,499.00
        "
"
                MANDEVU BEARD BALM
              ","
          KSh1,399.00
        "
"
                MANDEVU BEARD BRUSH
              ","
          KSh699.00
        "
"
                MANDEVU BEARD COMB
              ","
          KSh1,199.00
        "
"
                MANDEVU BEARD OIL
              ","
          KSh1,699.00
        "
"
                MANDEVU BEARDCARE DUO
              ","
          KSh2,599.00
        "
"
                MANDEVU COMBO
              ","
          KSh2,899.00
        "
"
                MANDEVU GIFT VOUCHER
              ","
          From KSh500.00
        "
"
                MANDEVU GROOMING TRIO
              ","
          KSh3,799.00
        "
"
                MANDEVU HAIR & BEARD WASH
              ","
          KSh899.00
        "
"
                MANDEVU LEATHER WASH BAG
              ","
          KSh3,299.00
        "
"
                MANDEVU LIP BALM
              ","
          KSh299.00
        "
"
                MANDEVU STARTER PACK
              ","
          KSh2,999.00
        "
"
                MANDEVU WASH BAG
              ","
          KSh999.00
        "
"
                Unbranded GIFT-BAG
              ","
          KSh299.00
        "
"
                Unbranded Sisal Draw-String Bag
              ","
          KSh399.00
        "
